Technique,ATTACK_ID,Tactic,Used_by_VT,group_id,group_name
Exploitation for Privilege Escalation,T1068,Privilege Escalation,Yes,G1017,Volt Typhoon
Resource Forking,T1564.009,Stealth,No,,
Account Access Removal,T1531,Impact,No,,
Credential Stuffing,T1110.004,Credential Access,No,,
Obfuscated Files or Information,T1027,Stealth,Yes,G1017,Volt Typhoon
Multi-Factor Authentication,T1556.006,"Defense Impairment, Persistence, Credential Access",No,,
Remote Email Collection,T1114.002,Collection,No,,
IIS Components,T1505.004,Persistence,No,,
Invalid Code Signature,T1036.001,Stealth,No,,
Generate Content,T1683,Resource Development,No,,
Run Virtual Instance,T1564.006,Stealth,No,,
Polymorphic Code,T1027.014,Stealth,No,,
Password Policy Discovery,T1201,Discovery,Yes,G1017,Volt Typhoon
Event Triggered Execution,T1546,"Privilege Escalation, Persistence",Yes,G1017,Volt Typhoon
Unix Shell Configuration Modification,T1546.004,"Privilege Escalation, Persistence",No,,
Forced Authentication,T1187,Credential Access,No,,
SID-History Injection,T1134.005,"Stealth, Privilege Escalation",Yes,G1017,Volt Typhoon
Network Boundary Bridging,T1599,Defense Impairment,No,,
Data Encrypted for Impact,T1486,Impact,No,,
Prevent Command History Logging,T1690,Defense Impairment,No,,
Subvert Trust Controls,T1553,Defense Impairment,Yes,G1017,Volt Typhoon
Elevated Execution with Prompt,T1548.004,Privilege Escalation,No,,
Firmware,T1592.003,Reconnaissance,No,,
Encrypted Channel,T1573,Command And Control,Yes,G1017,Volt Typhoon
Authentication Package,T1547.002,"Persistence, Privilege Escalation",No,,
Regsvr32,T1218.010,Stealth,No,,
Exfiltration to Text Storage Sites,T1567.003,Exfiltration,No,,
Software,T1592.002,Reconnaissance,No,,
Input Capture,T1056,"Collection, Credential Access",Yes,G1017,Volt Typhoon
